sentid	sent	start	finish	error	correction	tag	levenstein	lemmaequal	grammequal	stemequal	lenorig	lencorr	bastard	pos1	pos2
3661	Например, ЛГБТ обществу часто вынуждено скрываться не только в таких странах, где вся их жизнь считается « нелегальной», «мерзостью», но и в более развитых странах, где говорится, что есть демократия- Россия и США к примеру. 	26	26	говорится		lex?	9	0	0	0	1	0	0	V 	
3662	Я недовольна, что такая « культура андергроунда» нужна в современном мире, но я очень рада, что согласно психологическим нормам всегда будет такая вольна гибкости и прочности- скрыться пока нет полной сили, а потом будем жить как люди. 	30	30	сили		orpho, not-clear	4	0	0	0	1	0	0	S 	
3662	Я недовольна, что такая « культура андергроунда» нужна в современном мире, но я очень рада, что согласно психологическим нормам всегда будет такая вольна гибкости и прочности- скрыться пока нет полной сили, а потом будем жить как люди. 	30	30	сили		orpho, not-clear	4	0	0	0	1	0	0	S 	
3662	Я недовольна, что такая « культура андергроунда» нужна в современном мире, но я очень рада, что согласно психологическим нормам всегда будет такая вольна гибкости и прочности- скрыться пока нет полной сили, а потом будем жить как люди. 	30	30	сили		orpho, not-clear	4	0	0	0	1	0	0	S 	
3662	Я недовольна, что такая « культура андергроунда» нужна в современном мире, но я очень рада, что согласно психологическим нормам всегда будет такая вольна гибкости и прочности- скрыться пока нет полной сили, а потом будем жить как люди. 	30	30	сили		orpho, not-clear	4	0	0	0	1	0	0	S 	
4079	Я желала узнать больше о деятельности художников петербугского андерграунда, работая с ними. 	2	2	желала		lex	6	0	0	0	1	0	0	V 	
4079	Я желала узнать больше о деятельности художников петербугского андерграунда, работая с ними. 	8	8	петербугского		orpho	13	0	0	0	1	0	0	A=(вин 	
4081	В действительности, так как большaя часть моей работы былa связанa в архивом, я проводила много времени в отдельной комнате. 	11	11	в		syntax	1	0	0	0	1	0	0	S 	
4085	.Время от времени у меня появлялась возможность общения с вице- президентом организации, кто будучи художником, делился со мною своим опытом в области изобразительного искусства. 	11	11	кто		constr	3	0	0	0	1	0	0	SPRO 	
4086	Не смотря на то, что я посещала практику только раз в неделю, я почувствовала темп и методы работы моих сотрудников. 	1	2	Не смотря смотря смотря 	Несмотря 	lex	15	0	0	0	5	2	0	PART=  ADV=  ADV=  ADV= 	ADV= 
4087	Несомнено, что те, ,кто работают на Пушкинской- 10, ,вкладывают труд, делая это не из- за больших денег, а следуя собственным убеждениям в реализации творческих целей. 	1	1	Несомнено		orpho	9	0	0	0	1	0	0	V 	
4087	Несомнено, что те, ,кто работают на Пушкинской- 10, ,вкладывают труд, делая это не из- за больших денег, а следуя собственным убеждениям в реализации творческих целей. 	1	1	Несомнено		orpho	9	0	0	0	1	0	0	V 	
4088	Эта негосударственная и некоммерческая организация продолжает существовать за счет труда и энтузиазма, который вкладываeт каждый из ее соотрудников. 	18	18	соотрудников		orpho	12	0	0	0	1	0	0	S 	
4093	Но это совершенно не заметно при общении с ним. 	4	5	не заметно заметно 	незаметно 	orpho	9	0	0	0	4	2	0	PART=  ADV=  ADV= 	ADV= 
4411	? &g	10	10	планах		coord	6	0	0	0	1	0	0	S 	
4415	Я считаю, что мир очень большой и каждая страна имеет собственную культуруи это её прелесть. 	12	12	культуруи		typo	9	0	0	0	1	0	0	S 	
4416	Людям нравится путешествовать потому что им нравится испытывать, видеть новую культуру, новые обычаи той или иной страны, а в процессе глобализации все становится одинаковым. 	8	8	испытывать		lex	10	0	0	0	1	0	0	V 	
4419	чел- ва это такие как: загрязнение морей и океанов, озоновые дыры, нищета, голод, рост населения, и т. 	3	3	это		syntax	3	0	0	0	1	0	0	SPRO 	
4424	Мне кажется, что наднациональной единицы ещё не существует, но правит- ва работают над изобретением одной. 	14	15	изобретением одной 	изобретением. 	syntax, lex	6	0	0	0	3	2	0	S  APRO=(пр 	S  
4426	? &g	22	22	увеличилось		lex	11	0	0	0	1	0	0	V 	
4426	? &g	22	22	увеличилось		lex	11	0	0	0	1	0	0	V 	
4428	А ведь это два очень важные источника передачи информации, которые позволяют общение со всем миром, с любой точкой на планете. 	16	16	с		lex, constr	1	0	0	0	1	0	0	S 	
4428	А ведь это два очень важные источника передачи информации, которые позволяют общение со всем миром, с любой точкой на планете. 	16	16	с		lex, constr	1	0	0	0	1	0	0	S 	
4428	А ведь это два очень важные источника передачи информации, которые позволяют общение со всем миром, с любой точкой на планете. 	16	16	с		lex, constr	1	0	0	0	1	0	0	S 	
4428	А ведь это два очень важные источника передачи информации, которые позволяют общение со всем миром, с любой точкой на планете. 	16	16	с		lex, constr	1	0	0	0	1	0	0	S 	
4430	ДНК обеспечевает передачу генетической информации из поколения в поколение. 	2	2	обеспечевает		orpho	12	0	0	0	1	0	0	V 	
4431	Геронтология- наука, заложенная около века тому назад. 	3	3	заложенная		lex	10	0	0	0	1	0	0	V 	
4433	Так же, ,геронтология рассматривает причины старения и способы борьбы с ним. 	1	2	Так Так Так же же 	Также, 	orpho	12	0	0	0	6	2	0	ADVPRO=  ADVPRO=  ADVPRO=  PART=  PART= 	ADV= 
4439	По моему мнению, в основном эти препараты предназначены для людей пожилого возраста возможно для тех, у кого есть какие либо проблемы со здоровьем. 	19	20	какие какие либо либо 	какие-либо 	orpho	12	0	0	0	5	2	0	APRO=(им  APRO=(им  CONJ=  CONJ= 	APRO=(им 
4454	Студенты из Гаити будут учиться в российских ВУЗах ( Высшие Учебные Заведения) бесплатно. 	9	11	Заведения		orpho	9	0	0	0	1	0	0	S 	
4455	Примьет министр России Путин заявил, что все студенты Гаити будут учиться бесплатно. 	1	2	Примьет министр 	Премьер-министр 	orpho, typo	3	0	0	0	3	2	0	S  S 	S 
4472	Такие вещи, как физический закон мы часто видим в природе. 	4	5	закон		coord	5	0	0	0	1	0	0	S 	
4473	Но, долго мы существовали без умения понимать естественные случаи и складывать их в нашем тела знании. 	16	16	знании		not-clear, gov	6	0	0	0	1	0	0	S 	
4473	Но, долго мы существовали без умения понимать естественные случаи и складывать их в нашем тела знании. 	16	16	знании		not-clear, gov	6	0	0	0	1	0	0	S 	
4473	Но, долго мы существовали без умения понимать естественные случаи и складывать их в нашем тела знании. 	16	16	знании		not-clear, gov	6	0	0	0	1	0	0	S 	
4474	Например, маятник- прибор который представляет колебания космоса. 	5	5	представляет		lex	12	0	0	0	1	0	0	V 	
4475	Эта несложная вещь не был создана до 1851 ого года! 	5	5	был		coord	3	0	0	0	1	0	0	V 	
4476	Конечно, эта не такая простая и ещё может удивлять зрители. 	10	10	зрители		gov	7	0	0	0	1	0	0	S 	
4476	Конечно, эта не такая простая и ещё может удивлять зрители. 	10	10	зрители		gov	7	0	0	0	1	0	0	S 	
4477	Хотя маятник дал нам четкое, разумное объяснение колебаний космоса, мы ещё не понимают очень много о вселенной. 	13	15	понимают очень много много много много 	очень много понимаем 	syntax, morph	23	0	0	0	7	4	0	V=непрош  ADV=  ADV  ADV  ADV  ADV 	ADV=  ADV  V=(непрош 
4478	У нас ещё многие неопадающие выдумки, часто они просто лжи и фантазии, но иногда они выясняют теории, которые нам дают глубже понимание мира и науки. 	17	17	теории		gov	6	0	0	0	1	0	0	S 	
4478	У нас ещё многие неопадающие выдумки, часто они просто лжи и фантазии, но иногда они выясняют теории, которые нам дают глубже понимание мира и науки. 	17	17	теории		gov	6	0	0	0	1	0	0	S 	
4478	У нас ещё многие неопадающие выдумки, часто они просто лжи и фантазии, но иногда они выясняют теории, которые нам дают глубже понимание мира и науки. 	17	17	теории		gov	6	0	0	0	1	0	0	S 	
4478	У нас ещё многие неопадающие выдумки, часто они просто лжи и фантазии, но иногда они выясняют теории, которые нам дают глубже понимание мира и науки. 	17	17	теории		gov	6	0	0	0	1	0	0	S 	
4478	У нас ещё многие неопадающие выдумки, часто они просто лжи и фантазии, но иногда они выясняют теории, которые нам дают глубже понимание мира и науки. 	17	17	теории		gov	6	0	0	0	1	0	0	S 	
4478	У нас ещё многие неопадающие выдумки, часто они просто лжи и фантазии, но иногда они выясняют теории, которые нам дают глубже понимание мира и науки. 	17	17	теории		gov	6	0	0	0	1	0	0	S 	
4478	У нас ещё многие неопадающие выдумки, часто они просто лжи и фантазии, но иногда они выясняют теории, которые нам дают глубже понимание мира и науки. 	17	17	теории		gov	6	0	0	0	1	0	0	S 	
4526	Я понимаю, что открытие комбината связано с экономичискими потребностями региона и всей страны. 	8	8	экономичискими		orpho	14	0	0	0	1	0	0	A 	
4529	И, согласно данным учёных, эта доля может возрасти, если будут соблюдаться экологически оправданные меры его использования. 	0	16		озера. 	lex	7	0	0	0	0	2	0		S  
4530	.Загрязнение воды Байкала отходами Целлюлозно– Бумажного Комбината угрожают самому существованию этого уникального источника пресной воды. 	-72	-72	воды		coord	4	0	0	0	1	0	0	S 	
4530	.Загрязнение воды Байкала отходами Целлюлозно– Бумажного Комбината угрожают самому существованию этого уникального источника пресной воды. 	-66	-66	угрожают		coord	8	0	0	0	1	0	0	V 	
4531	Уже сейчас подсчитано, что за счёт нарушения нормальной флоры воды, в частности развития рачка эпишуры, производительность самоочистки Байкала уменьшилась на 7, 5%. 	14	14	рачка		not-clear	5	0	0	0	1	0	0	S 	
4532	И с какой скоростью эта тенденция будет нарастать, страшно представить. 	8	8	нарастать		lex	9	0	0	0	1	0	0	V 	
4533	Уже сегодня, условия жизни около озера неприемлимы для некоторых животных, например Байкальской нерпы, а завтра станут тяжёлыми для людей. 	7	7	неприемлимы		orpho	11	0	0	0	1	0	0	S 	
4534	Для людей, это касается как нынешнего поколения, так наших детей и внуков. 	0	8		и 	syntax	2	0	0	0	0	2	0		CONJ= 
4536	Я не сомневаюсь в Вашей способности найти решение задачи сегодняшнего дня, которое не будет в ущерб будущему. 	0	14		действовать 	constr	12	0	0	0	0	2	0		V 
4540	Русская история огромна и по истине велика, но для меня отдельное место занимает 1861 год. 	5	6	по истине истине 	поистине 	orpho	8	0	0	0	4	2	0	PR=  S  S 	ADV= 
4541	В этот год было много событий, важных для России, я считаю, что самым главным из них было– отмена крепостного права. 	17	17	было		coord	4	0	0	0	1	0	0	V 	
4544	Разумеется, это было обусловлено тем, что только сильный правитель мог решиться на такое, ведь результат отмены узаконенного и исторически подкрепленного гнета крестьян мог стать толчком к народным волнениям, потери авторитета монарха и даже революции. 	29	29	потери		orpho, gov	6	0	0	0	1	0	0	S 	
4544	Разумеется, это было обусловлено тем, что только сильный правитель мог решиться на такое, ведь результат отмены узаконенного и исторически подкрепленного гнета крестьян мог стать толчком к народным волнениям, потери авторитета монарха и даже революции. 	29	29	потери		orpho, gov	6	0	0	0	1	0	0	S 	
4545	Твердое решение об отмене крепостного права и подписанием одноименного манифеста было принято 19 февраля 1861 года императором Александром II. 	8	8	подписанием		gov	11	0	0	0	1	0	0	S 	
4547	Как было сказано выше, что попытки отмены крепостного права уже принимались и раньше, но они не носили столь четкой и точной формы, и при первых же недовольствах дворянского сословия все останавливалось и убиралось в « далекий ящик». 	35	35	далекий		lex	7	0	0	0	1	0	0	A=(вин 	
4547	Как было сказано выше, что попытки отмены крепостного права уже принимались и раньше, но они не носили столь четкой и точной формы, и при первых же недовольствах дворянского сословия все останавливалось и убиралось в « далекий ящик». 	35	35	далекий		lex	7	0	0	0	1	0	0	A=(вин 	
4548	Россия всегда была на шаг позади Европы всей, ,но политика ее была нацелена на приведение государства к уровню западных цивилизаций. 	7	8	Европы Европы Европы всей всей всей всей 	всей Европы, 	syntax	32	0	0	0	8	3	0	S  S  S  APRO=(пр  APRO=(пр  APRO=(пр  APRO=(пр 	APRO=(пр  S 
4549	Освобождение крестьян и уравнение всего населения в правах приблизило бы Россию к Европе, ведь там общество уже давно не было феодальным. 	4	4	уравнение		lex	9	0	0	0	1	0	0	S 	
4900	Основные проблемы экономики, по анализу лектора, были- что производить, как производить и для кого производить? 	7	7	были		constr	4	0	0	0	1	0	0	V 	
4900	Основные проблемы экономики, по анализу лектора, были- что производить, как производить и для кого производить? 	7	7	были		constr	4	0	0	0	1	0	0	V 	
4901	Лекция обсуждает модель, которая основанная на рыночном механизме, и также обсуждает командную модель. 	1	2	обсуждает		constr	9	0	0	0	1	0	0	V=непрош 	
4901	Лекция обсуждает модель, которая основанная на рыночном механизме, и также обсуждает командную модель. 	5	5	основанная		morph	10	0	0	0	1	0	0	V=прош 	
4901	Лекция обсуждает модель, которая основанная на рыночном механизме, и также обсуждает командную модель. 	11	11	обсуждает		constr	9	0	0	0	1	0	0	V=непрош 	
4901	Лекция обсуждает модель, которая основанная на рыночном механизме, и также обсуждает командную модель. 	12	12	командную		constr, gov	9	0	0	0	1	0	0	A=вин 	
4903	Основная проблема государственного регулирования состоит в том, чтобы не мешать рынка, а ещё защитить потребителей. 	11	11	рынка		gov	5	0	0	0	1	0	0	S 	
4903	Основная проблема государственного регулирования состоит в том, чтобы не мешать рынка, а ещё защитить потребителей. 	11	11	рынка		gov	5	0	0	0	1	0	0	S 	
4910	Я xочу подробно обсуждать проблемы водосоxранения на уроке. 	0	6		воды 	lex	5	0	0	0	0	2	0		S 
4951	Давайте не забудем языковых навыков, которые мы приобрели во первом семестре. 	0	3		забывать 	asp	9	0	0	0	0	2	0		V=инф 
4952	Итак, вo втором семестре у нас возможность не только учиться, но и что- то делать со знаниям русского языка. 	12	12	знаниям		morph	7	0	0	0	1	0	0	S 	
5187	Стали строил высотки/ / монументальные здания чтобы эти здания стояли там долго и люди всегда помнили о нем. 	1	1	Стали		typo	5	0	0	0	1	0	0	V 	
5189	Стоив такие здания, он показывал свою власть, и остаться в памяти у людей надолго. 	1	1	Стоив		typo	5	0	0	0	1	0	0	V 	
5244	На этой неделе, я читал часть книги из Магаданского книжного издательства, которая называется говроит о том, что Магаданская область богатая часть Росии, где существуют экономические ресурсы, природная красота и хорошие разнообразие люди. 	23	23	где		syntax	3	0	0	0	1	0	0	ADVPRO= 	
5244	На этой неделе, я читал часть книги из Магаданского книжного издательства, которая называется говроит о том, что Магаданская область богатая часть Росии, где существуют экономические ресурсы, природная красота и хорошие разнообразие люди. 	23	23	где		syntax	3	0	0	0	1	0	0	ADVPRO= 	
5245	Книга чуть- чуть пропагандическая, но подробно объясняет, как живут люди в области, каковы их традиции и мнения и средства к существованию. 	2	2	пропагандическая		morph	16	0	0	0	1	0	0	A=им 	
5246	Я буду пользовать эту книгу для моего исследования характера города Магадана. 	11	11	Магадана		gov	8	0	0	0	1	0	0	S 	
5246	Я буду пользовать эту книгу для моего исследования характера города Магадана. 	11	11	Магадана		gov	8	0	0	0	1	0	0	S 	
5275	Я думаю что Россия состоит частью Европы, но при этом я имею введу, частью Восточной Европы. 	5	5	состоит		lex	7	0	0	0	1	0	0	V 	
5276	За последние столетия, Россия стала одна из самых главных участников в сабытиях Европы. 	6	6	одна		coord	4	0	0	0	1	0	0	APRO=им 	
5276	За последние столетия, Россия стала одна из самых главных участников в сабытиях Европы. 	10	10	участников		coord	10	0	0	0	1	0	0	S 	
5276	За последние столетия, Россия стала одна из самых главных участников в сабытиях Европы. 	12	12	сабытиях		orpho	8	0	0	0	1	0	0	S 	
5277	Начаная с Первой Мировой Войны, Россия возглавляла исторические происшедствия в Европе. 	1	1	Начаная		orpho	7	0	0	0	1	0	0	A=им 	
5277	Начаная с Первой Мировой Войны, Россия возглавляла исторические происшедствия в Европе. 	9	9	происшедствия		orpho	13	0	0	0	1	0	0	S 	
5279	Во- первых, ,отделение России от западной Европы во время Холодной Войны привело к всеобщему отделению России от оставщего мира... 	9	9	всеобщему		lex	9	0	0	0	1	0	0	A=(дат 	
5279	Во- первых, ,отделение России от западной Европы во время Холодной Войны привело к всеобщему отделению России от оставщего мира... 	13	13	оставщего		lex, orpho	9	0	0	0	1	0	0	ADV= 	
5283	Вопрос о гуманности ярко проявился в начале 20- ого века, а особенно после Второй мировой войны. 	11	12	а особенно 	особенно 	syntax	2	0	0	0	3	2	0	CONJ=  ADV= 	ADV= 
5292	Философия художника стала исходной идеей для его социальных действий, в число которых включается Пакт о защите международных культурных ценностей. 	14	14	Пакт		orpho	4	0	0	0	1	0	0	S 	
5296	Общение с разными людьми, входящими в круг знакомых Рериховской семьи, отразилось на способностях и интересах Николая. 	9	9	Рериховской		orpho	11	0	0	0	1	0	0	A=(пр 	
5297	Творческий талант Рериха проявился довольно рано в жизни, но его призвание к искусству не было поддержинно семьей. 	5	8	жизни		syntax	5	0	0	0	1	0	0	S 	
5297	Творческий талант Рериха проявился довольно рано в жизни, но его призвание к искусству не было поддержинно семьей. 	16	16	поддержинно		morph, orpho	11	0	0	0	1	0	0	A=ед 	
5299	Образование художника непосредственно подготовило его для общественной деятельности в будущем. 	6	6	для		lex	3	0	0	0	1	0	0	PR= 	
5300	Рерих был рассказчиком, способным выразить свое мировозрение разнообразными способами. 	7	7	мировозрение		orpho	12	0	0	0	1	0	0	S 	
5303	Техника художника включает традиционные элементы реализма, с модернистическими навыками. 	8	9	навыками		constr	8	0	0	0	1	0	0	S 	
5305	Вообщем, произведения Рериха обладают неким примитивизмом. 	1	1	Вообщем		orpho	7	0	0	0	1	0	0	A=(пр 	
5308	Не только картины сделали Рериха известным. 	1	6	известным		syntax	9	0	0	0	1	0	0	A=(дат 	
5309	Художник оказал сильное воздействие на культурно- социальные движения 20- ого века. 	4	4	воздействие		lex	11	0	0	0	1	0	0	S 	
5309	Художник оказал сильное воздействие на культурно- социальные движения 20- ого века. 	9	10	20 ого 	20-ого 	orpho	1	0	0	0	3	2	0	  INTJ= 	  INTJ= 
5310	Новаторская идея Рериха возникла на почве чрезвычайных событий, случившихся в начале 20- ого века. 	12	13	20 ого 	20-ого 	orpho	1	0	0	0	3	2	0	  INTJ= 	  INTJ= 
5311	Многие из старинных мест, запавшие в памяти художника во время его исследовательских путешествий по России, были уничтожены во время Русско- японской войны 1904- ого года. 	5	5	запавшие		gov	8	0	0	0	1	0	0	V 	
5311	Многие из старинных мест, запавшие в памяти художника во время его исследовательских путешествий по России, были уничтожены во время Русско- японской войны 1904- ого года. 	5	5	запавшие		gov	8	0	0	0	1	0	0	V 	
5311	Многие из старинных мест, запавшие в памяти художника во время его исследовательских путешествий по России, были уничтожены во время Русско- японской войны 1904- ого года. 	5	5	запавшие		gov	8	0	0	0	1	0	0	V 	
5311	Многие из старинных мест, запавшие в памяти художника во время его исследовательских путешествий по России, были уничтожены во время Русско- японской войны 1904- ого года. 	5	5	запавшие		gov	8	0	0	0	1	0	0	V 	
5312	Впоследствии, по истечению многих лет, художник сформировал предложение для сохранения культурных объектов. 	3	3	истечению		gov	9	0	0	0	1	0	0	S 	
5312	Впоследствии, по истечению многих лет, художник сформировал предложение для сохранения культурных объектов. 	9	9	для		lex	3	0	0	0	1	0	0	PR= 	
5312	Впоследствии, по истечению многих лет, художник сформировал предложение для сохранения культурных объектов. 	10	10	сохранения		gov	10	0	0	0	1	0	0	S 	
5315	В 1920- ом году Рерих имел выставку в Чикагском институте искусств, что отметило начало его культурной деятельности в США. 	2	3	1920 ом 	1920-ом 	orpho	1	0	0	0	3	2	0	  S 	  S 
5315	В 1920- ом году Рерих имел выставку в Чикагском институте искусств, что отметило начало его культурной деятельности в США. 	6	6	имел		lex	4	0	0	0	1	0	0	V 	
5316	Один из методов реализаций идей Рериха- организация обучения. 	4	4	реализаций		syntax	10	0	0	0	1	0	0	S 	
5317	После переезда в США, художник открыл Главный Институт Объединенных Искусств в Нью- Йорке. 	12	13	Нью Йорке 	Нью-Йорке. 	orpho	2	0	0	0	3	2	0	A=(пр  S 	S  
5318	.Несмотря на успешность института, его деятельнось была прервана во время Второй мировой войны. 	5	5	деятельнось		typo	11	0	0	0	1	0	0	ADV= 	
5319	Благадоря последователям Н. 	1	1	Благадоря		orpho	9	0	0	0	1	0	0	V 	
5320	.Рериха, учереждение переобразилось в первый музей посвященный искусству и деятельности художника. 	2	2	учереждение		orpho	11	0	0	0	1	0	0	S 	
5320	.Рериха, учереждение переобразилось в первый музей посвященный искусству и деятельности художника. 	2	2	учереждение		orpho	11	0	0	0	1	0	0	S 	
5321	Рериховеды видели музей не только как средство соединения людей, а также как и средство вдохновения и образования культурой. 	17	18	культурой		constr	9	0	0	0	1	0	0	S 	
5322	Как представитель Санкт- Петербургского государственного музея- иститута семьи Рерихов А 	2	2	представитель		syntax	13	0	0	0	1	0	0	S 	
5322	Как представитель Санкт- Петербургского государственного музея- иститута семьи Рерихов А 	3	5	Санкт Петербургского государственного 	представитель Санкт-Петербургского 	syntax, syntax, orpho	30	0	0	0	4	3	0	COM=  A  A=(вин 	S  A=(вин 
5322	Как представитель Санкт- Петербургского государственного музея- иститута семьи Рерихов А 	0	8	музея иститута семьи 	государственного музея- -института 	typo, syntax, syntax	26	0	0	0	4	4	0	S  S  S 	A=(вин  S  S 
5322	Как представитель Санкт- Петербургского государственного музея- иститута семьи Рерихов А 	9	10	А		syntax	1	0	0	0	1	0	0	PART= 	
5325	пишет: «...была поставлена главная задача – охранение и приумножение культурного достояния как основы усовершенствования и преображения жизни». 	-4	1	пишет		syntax	5	0	0	0	1	0	0	V 	
5328	.К. был открыт в Нью- Йорке, ,США в 1923 году, впоследствии были организованы другие в России и Индии. 	5	6	Нью Йорке 	Нью-Йорке, 	orpho	2	0	0	0	3	2	0	A=(пр  S 	S 
5331	В 1929 году Рерих стал кандидатом Нобелевской премии мира, именно за создание идеи Пакта о сохранении культуры. 	7	7	Нобелевской		constr	11	0	0	0	1	0	0	A=(пр 	
5331	В 1929 году Рерих стал кандидатом Нобелевской премии мира, именно за создание идеи Пакта о сохранении культуры. 	8	8	премии		gov	6	0	0	0	1	0	0	S 	
5331	В 1929 году Рерих стал кандидатом Нобелевской премии мира, именно за создание идеи Пакта о сохранении культуры. 	14	14	Пакта		orpho	5	0	0	0	1	0	0	S 	
5333	В 1935 году был впервые подписан Договор об охране художественных и научных учреждений и исторических памятников членами стран Панамериканского союза. 	4	10	художественных		syntax	14	0	0	0	1	0	0	A=(пр 	
5333	В 1935 году был впервые подписан Договор об охране художественных и научных учреждений и исторических памятников членами стран Панамериканского союза. 	12	16	памятников		syntax	10	0	0	0	1	0	0	S 	
5333	В 1935 году был впервые подписан Договор об охране художественных и научных учреждений и исторических памятников членами стран Панамериканского союза. 	17	18	членами стран 	членами 	constr	6	0	0	0	3	2	0	S  S 	S 
5334	В частности, Панамериканский союз представляет сотрудничество американских государств через решения экономических и политических вопросов. 	2	2	частности		lex	9	0	0	0	1	0	0	S 	
5334	В частности, Панамериканский союз представляет сотрудничество американских государств через решения экономических и политических вопросов. 	2	2	частности		lex	9	0	0	0	1	0	0	S 	
5334	В частности, Панамериканский союз представляет сотрудничество американских государств через решения экономических и политических вопросов. 	2	2	частности		lex	9	0	0	0	1	0	0	S 	
5335	Пакт Рериха имеет образовательное назначение, и важнее всего то, что художник пытался развить международные отношения через понятие культуры. 	5	5	назначение		lex	10	0	0	0	1	0	0	S 	
5335	Пакт Рериха имеет образовательное назначение, и важнее всего то, что художник пытался развить международные отношения через понятие культуры. 	5	5	назначение		lex	10	0	0	0	1	0	0	S 	
5339	Договор был подписан на седьмой международной конференций американских государств. 	7	7	конференций		syntax, gov	11	0	0	0	1	0	0	S 	
5340	В договор входили восемь статьей, излагающиих критерии для сохранения культурного наследия. 	6	6	излагающиих		typo, morph	11	0	0	0	1	0	0	ADV= 	
5340	В договор входили восемь статьей, излагающиих критерии для сохранения культурного наследия. 	6	6	излагающиих		typo, morph	11	0	0	0	1	0	0	ADV= 	
5340	В договор входили восемь статьей, излагающиих критерии для сохранения культурного наследия. 	6	6	излагающиих		typo, morph	11	0	0	0	1	0	0	ADV= 	
5341	Первая статья Пакта определяла это понятие так: «Исторические памятники, музеи, научные, художественные, образовательные и культурные учереждения считаются нейтральными и как таковые пользуются уважением и покровительством воюющих сторон». 	16	16	учереждения		orpho	11	0	0	0	1	0	0	S 	
5342	Недостатки пакта были в том, что он не совсем конкретно представлял предлагаемую проблему. 	3	3	были		lex	4	0	0	0	1	0	0	V 	
5342	Недостатки пакта были в том, что он не совсем конкретно представлял предлагаемую проблему. 	12	12	предлагаемую		lex	12	0	0	0	1	0	0	V 	
5343	Кроме этого, Договор не был предложен за пределами американского континента. 	6	6	предложен 	предложен к распространению 	constr	18	0	0	0	2	4	0	V 	V  PR=  S 
5343	Кроме этого, Договор не был предложен за пределами американского континента. 	6	6	предложен 	предложен к распространению 	constr	18	0	0	0	2	4	0	V 	V  PR=  S 
5344	Пакт преполагал введение символа, предназначенного для регистрируемых объектов. 	2	2	преполагал		typo	10	0	0	0	1	0	0	V 	
5345	Знамя Мира выглядит так: три красные точки, расположенные по середине красного кольца на белом фоне. 	9	10	по середине 	посередине 	orpho	1	0	0	0	3	2	0	PR=  S 	ADV= 
5347	Хотя изображение было введено вместе с пактом, похожую форму можно найти во многих цивилизациях мира. 	9	9	форму		lex	5	0	0	0	1	0	0	S 	
5352	Поэтому Знамя Мира было предложено как международный символ для культурных объектов мира. 	0	12	объектов мира 	объектов. 	constr	5	0	0	0	3	2	0	S  S 	S  
5353	.Пакт Рериха дал начало международному диалогу на тему сохранения и уважения культурных артифактов, в результате чего в 1954- ом году была проведена Гаагская конвенция о защите культурных ценностей в случае вооружденного конфликта. 	12	12	артифактов		orpho	10	0	0	0	1	0	0	S 	
5353	.Пакт Рериха дал начало международному диалогу на тему сохранения и уважения культурных артифактов, в результате чего в 1954- ом году была проведена Гаагская конвенция о защите культурных ценностей в случае вооружденного конфликта. 	12	12	артифактов		orpho	10	0	0	0	1	0	0	S 	
5353	.Пакт Рериха дал начало международному диалогу на тему сохранения и уважения культурных артифактов, в результате чего в 1954- ом году была проведена Гаагская конвенция о защите культурных ценностей в случае вооружденного конфликта. 	12	12	артифактов		orpho	10	0	0	0	1	0	0	S 	
5354	Несмотря на существующию проблему, установленный кодекс был нарушен. 	3	3	существующию		morph	12	0	0	0	1	0	0	ADV= 	
5355	После чего, в 1999- ом году вторая конвенция была официализирована, восстанавливая культурный договор между странами. 	4	5	1999 ом 	1999-ом 	orpho	1	0	0	0	3	2	0	  S 	  S 
5355	После чего, в 1999- ом году вторая конвенция была официализирована, восстанавливая культурный договор между странами. 	7	7	вторая		syntax	6	0	0	0	1	0	0	ANUM=им 	
5355	После чего, в 1999- ом году вторая конвенция была официализирована, восстанавливая культурный договор между странами. 	8	8	конвенция		syntax, lex	9	0	0	0	1	0	0	S 	
5355	После чего, в 1999- ом году вторая конвенция была официализирована, восстанавливая культурный договор между странами. 	9	10	официализирована		syntax	16	0	0	0	1	0	0	V 	
5358	Объекты, включенные в конвенцию, являются национальными и международными ценностям. 	9	9	ценностям		typo, gov	9	0	0	0	1	0	0	S 	
5360	Объект должен демонстрировать универсальные эстетические понятия, творческую гениальность человечества или этнологическое значение. 	12	12	значение		lex, constr	8	0	0	0	1	0	0	S 	
